key,collection_date,Alkalinity [p:3332],Ammonia [p:3333],Calcium [p:3334],Chloride [p:3335],Conductivity [p:3336],Dissolved Oxygen [p:3337],Iron [p:3338],Magnesium [p:3340],Nitrate [p:3341],Nitrite [p:3342],Nitrogen [p:3343],Phosphorus [p:3344],Potassium [p:3345],Silicate [p:3346],Sodium [p:3347],Soluble Reactive Phosphorus [p:3348],Sulfur [p:3349],Temperature [p:3355],Total Alkalinity [p:3408],Total Chloride [p:3409],Total Phosphorus [p:3352],Total Suspended Solids [p:3353],Turbidity [p:3354],pH [p:3356],latitude,longitude,owner_id,owner_first_name,owner_last_name,certified,certifier_id,certifier_first_name,certifier_last_name,dataset_id,dataset_name,dataset_key,station_id,station_name
e13e310674329fb3fef6521e3a165e67,2013-04-02 00:00:00,,0.024,,,,12.05,,,2.2873,,,,,,,3.9,,7.6,,,,,3.4,8.05,41.349059,-82.512431,196,Erin,Hofmann,True,196,Erin,Hofmann,1390,Firelands Coastal Tributaries Watershed Program,HQ5yvL1h1YIi,OWC_7,Berlin Rd SWMP
b83653ba284e078fb4bd5025076da892,2013-04-02 00:00:00,,0.028,,,,11.69,,,2.141,,,,,,,3.6,,6.9,,,,,7.2,8.3,41.364922,-82.504653,196,Erin,Hofmann,True,196,Erin,Hofmann,1390,Firelands Coastal Tributaries Watershed Program,HQ5yvL1h1YIi,OWC_9,Darrow Rd - SWMP
05d3b6c0c50c6cebbb40113fa2385e83,2013-04-13 00:00:00,,0.053,,,,10.2,,,8.016,,,,,,,113.0,,9.6,,,,,42.0,8.02,41.3384,-82.7487,196,Erin,Hofmann,True,196,Erin,Hofmann,1390,Firelands Coastal Tributaries Watershed Program,HQ5yvL1h1YIi,PC_4,Harris Rd
c225e192d627ed658ce2445ce12e7d82,2013-04-14 00:00:00,,0.07,,,,8.7,,,7.125,,,,,,,53.6,,6.6,,,,,82.3,7.92,41.43256,-82.68365,196,Erin,Hofmann,True,196,Erin,Hofmann,1390,Firelands Coastal Tributaries Watershed Program,HQ5yvL1h1YIi,PC_7,Perkins Ave
3298dcc00352088b754517512eae0de7,2013-04-14 00:00:00,,0.63,,,,11.5,,,7.545,,,,,,,48.1,,6.3,,,,,54.0,8.14,41.36535,-82.72794,196,Erin,Hofmann,True,196,Erin,Hofmann,1390,Firelands Coastal Tributaries Watershed Program,HQ5yvL1h1YIi,PC_6,Patten-tract Rd
6dcdf5f7def47d41269fc4d38c38c748,2013-04-14 00:00:00,,0.033,,,,11.1,,,8.308,,,,,,,119.8,,9.6,,,,,55.7,8.1,41.324686,-82.767628,196,Erin,Hofmann,True,196,Erin,Hofmann,1390,Firelands Coastal Tributaries Watershed Program,HQ5yvL1h1YIi,PC_9,Strecker Rd
bfa114185ad035e01c16ef3bd74d2010,2013-04-14 00:00:00,,0.018,,,,11.3,,,3.98,,,,,,,41.4,,12.4,,,,,44.7,7.68,41.29692,-82.50303,196,Erin,Hofmann,True,196,Erin,Hofmann,1390,Firelands Coastal Tributaries Watershed Program,HQ5yvL1h1YIi,OWC_18,Tennant Rd East
c8ee6421b432eddeb64314f2cc73034b,2013-04-14 00:00:00,,0.088,,,,11.7,,,7.681,,,,,,,96.0,,5.9,,,,,71.8,8.08,41.3965,-82.70852,196,Erin,Hofmann,True,196,Erin,Hofmann,1390,Firelands Coastal Tributaries Watershed Program,HQ5yvL1h1YIi,PC_1,Bogart Rd
fce62da278102b7b567b19b825488b21,2013-04-14 00:00:00,,0.025,,,,12.1,,,3.668,,,,,,,25.0,,8.0,,,,,38.2,7.94,41.34892,-82.51257,196,Erin,Hofmann,True,196,Erin,Hofmann,1390,Firelands Coastal Tributaries Watershed Program,HQ5yvL1h1YIi,OWC_6,Berlin Rd
bc3fd054830163960979824588736376,2013-04-14 00:00:00,,0.008,,,,10.4,,,3.504,,,,,,,35.7,,9.3,,,,,44.4,7.63,41.318468,-82.492657,196,Erin,Hofmann,True,196,Erin,Hofmann,1390,Firelands Coastal Tributaries Watershed Program,HQ5yvL1h1YIi,OWC_15,Rt 61
